State,Covid Cases
AL,269877
AK,35720
AZ,364276
AR,170924
CA,1341700
CO,260581
CT,127715
DE,39912
FL,1040727
GA,443822
HI,18842
ID,109705
IL,787573
IN,381617
IA,213390
KS,168295
KY,200632
LA,251123
ME,13348
MD,215027
MA,256844
MI,426576
MN,350862
MS,164931
MO,322298
MT,67875
NE,138568
NV,168139
NH,24771
NJ,368016
NM,108088
NY,705827
NC,394990
ND,82981
OH,475024
OK,216486
OR,84496
PA,420114
RI,62137
SC,232099
SD,85991
TN,400594
TX,1249323
UT,215407
VT,5015
VA,255053
WA,175793
WV,54997
WI,441067
WY,36317